Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Harry Sugden,M,SBD,Raw,23,20-23,19-23,MR-O,81.8,83,252.5,265,-272.5,,265,147.5,-152.5,152.5,,152.5,265,285,-300,,285,702.5,5,478.18,473.03,455.33,97.96,Yes,England,YNE,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Sian Arterton,F,SBD,Raw,,,,FR-O,84,84,175,190,195,,195,105,-110,110,,110,165,177.5,187.5,,187.5,492.5,3,453.18,439.18,383.95,93.01,Yes,England,EM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Makeda Vidal,F,SBD,Raw,29,24-34,24-39,FR-O,61.8,63,170,177.5,185.5,,185.5,90,95,97.5,,97.5,180,190,197.5,,197.5,480.5,2,522.92,523.65,462.50,106.46,Yes,England,SW,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Sophia Ellis,F,SBD,Raw,28,24-34,24-39,FR-O,75.1,76,155,165,170,,170,115,120,125.5,,125.5,220,232.5,237.5,,237.5,533,1,518.77,506.27,445.32,105.68,Yes,England,GL,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Ashley Liston,M,SBD,Raw,34.5,24-34,24-39,MR-O,104.6,105,255,270,282.5,,282.5,207.5,217.5,221,,221,300,320,-337.5,,320,823.5,5,497.42,492.75,470.52,101.85,Yes,England,WM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Alexander Espin,M,SBD,Raw,34.5,24-34,24-39,MR-O,73.7,74,205,215,220,,220,130,140,-145,,140,270,285,-292.5,,285,645,8,467.99,465.30,449.93,94.89,Yes,England,GL,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Indiana Montaque,F,SBD,Raw,30.5,24-34,24-39,FR-O,75.6,76,130,140,145,,145,90,92.5,95,,95,190,205,-217.5,,205,445,9,431.61,420.94,370.17,87.95,Yes,England,EM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Rianna Graham,F,SBD,Raw,29.5,24-34,24-39,FR-O,68.4,69,142.5,152.5,160,,160,87.5,92.5,95,,95,150,162.5,-170,,162.5,417.5,10,427.76,422.11,372.27,86.92,Yes,England,SW,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Suzanne Daniel,F,SBD,Raw,27,24-34,24-39,FR-O,61.4,63,150,157.5,162.5,,162.5,90,95,100,,100,190,200,207.5,,207.5,470,3,513.55,514.76,454.68,104.58,Yes,England,SE,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Cherry Yeung,F,SBD,Raw,27,24-34,24-39,FR-O,49.8,52,115,122.5,130,,130,77.5,-82.5,85,,85,145,157.5,-165,,157.5,372.5,3,468.08,479.98,426.29,97.73,Yes,England,SM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Ka Chun Wan,M,SBD,Raw,27,24-34,24-39,MR-O,102.1,105,242.5,260,270,,270,137.5,145,-150,,145,260,277.5,285,,285,700,39,427.06,422.58,403.52,87.57,Yes,England,GL,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Barnie Skinner,M,SBD,Raw,25.5,24-34,24-39,MR-O,115.8,120,240,260,267.5,,267.5,172.5,180,182.5,,182.5,270,290,-300,,290,740,17,430.18,429.19,410.93,87.38,Yes,England,GL,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Ben Pape,M,SBD,Raw,28,24-34,24-39,MR-O,104.7,105,312.5,325,-330,,325,180,187.5,190,,190,330,350,-370,,350,865,2,522.28,517.41,494.06,106.94,Yes,England,EM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
